pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female,z_score,deviation_value
岡山県,3305,津山・英田,HbA1c,糖尿病,23840,2086,0.0875,12247,1368,0.1117008246917612,11593,718,0.0619339256447856,0.6335320654273572,56.33532065427357
岩手県,301,盛岡,HbA1c,糖尿病,83904,6180,0.0736556064073226,42409,4166,0.0982338654530877,41495,2014,0.0485359681889384,-0.5275178959407744,44.72482104059225
岩手県,302,岩手中部,HbA1c,糖尿病,38715,2640,0.0681906237892289,20400,1826,0.0895098039215686,18315,814,0.0444444444444444,-0.9858346734247145,40.14165326575285
岩手県,303,胆江,HbA1c,糖尿病,23907,1776,0.07428786547873,12465,1136,0.0911351784997994,11442,640,0.0559342772242614,-0.4744939505062502,45.255060494937496
岩手県,304,両磐,HbA1c,糖尿病,20975,1593,0.0759475566150178,11186,1077,0.0962810656177364,9789,516,0.0527122280110327,-0.3353051650408318,46.64694834959168
岩手県,305,気仙,HbA1c,糖尿病,10906,862,0.0790390610673024,5382,558,0.1036789297658862,5524,304,0.0550325850832729,-0.07603840114349913,49.239615988565006
岩手県,306,釜石,HbA1c,糖尿病,7131,541,0.0758659374561772,3627,364,0.1003584229390681,3504,177,0.0505136986301369,-0.3421500962098574,46.57849903790142
岩手県,307,宮古,HbA1c,糖尿病,12127,876,0.0722355075451472,6099,597,0.0978848991637973,6028,279,0.04628400796284,-0.6466134502552497,43.5338654974475
岩手県,308,久慈,HbA1c,糖尿病,9527,762,0.0799832056261152,4914,512,0.1041921041921041,4613,250,0.0541946672447431,0.0031415929961754385,50.03141592996175
岩手県,309,二戸,HbA1c,糖尿病,9740,921,0.0945585215605749,4894,573,0.1170821413976297,4846,348,0.071811803549319,1.2254898229384044,62.25489822938404
島根県,3201,松江,HbA1c,糖尿病,46128,3418,0.0740981616371835,23640,2332,0.0986463620981387,22488,1086,0.0482924226254002,-0.490403324681761,45.09596675318239
島根県,3202,雲南,HbA1c,糖尿病,10095,698,0.0691431401684002,5412,523,0.0966371027346637,4683,175,0.0373692077727952,-0.9059525826826322,40.940474173173676
島根県,3203,出雲,HbA1c,糖尿病,31396,2131,0.0678748885208306,16367,1487,0.0908535467709415,15029,644,0.0428504890544946,-1.0123135812022497,39.8768641879775
島根県,3204,大田,HbA1c,糖尿病,11099,1085,0.0977565546445625,5673,683,0.1203948528115635,5426,402,0.0740877257648359,1.4936905327608796,64.9369053276088
島根県,3205,浜田,HbA1c,糖尿病,16566,1459,0.0880719546058191,8962,990,0.1104664137469314,7604,469,0.061678064176749,0.6814986208813884,56.814986208813885
島根県,3206,益田,HbA1c,糖尿病,12488,1124,0.0900064061499039,6622,761,0.114919963757173,5866,363,0.0618820320490964,0.8437299873542505,58.43729987354251
島根県,3207,隠岐,HbA1c,糖尿病,4077,316,0.0775079715477066,2111,219,0.1037423022264329,1966,97,0.0493387589013224,-0.2044421059123451,47.95557894087655
広島県,3401,広島,HbA1c,糖尿病,230216,15522,0.0674236369322723,124816,11442,0.0916709396231252,105400,4080,0.0387096774193548,-1.05015746623453,39.498425337654695
広島県,3402,広島西,HbA1c,糖尿病,22718,1592,0.0700765912492296,11733,1117,0.09520156822637,10985,475,0.0432407828857533,-0.827669389267122,41.72330610732878
広島県,3403,呉,HbA1c,糖尿病,33420,2507,0.075014961101137,17450,1746,0.1000573065902578,15970,761,0.0476518472135253,-0.4135166069588151,45.86483393041185
広島県,3404,広島中央,HbA1c,糖尿病,33418,2281,0.0682566281644622,18787,1658,0.0882525150369936,14631,623,0.0425808215432984,-0.9802992646831369,40.19700735316863
広島県,3405,尾三,HbA1c,糖尿病,34453,2810,0.0815603866136475,18118,1926,0.1063031239651175,16335,884,0.0541169268441995,0.13541072507383378,51.35410725073834
広島県,3406,福山・府中,HbA1c,糖尿病,74921,5609,0.0748655250196874,39332,3992,0.1014949659310485,35589,1617,0.0454353873387844,-0.4260489548318077,45.73951045168192
広島県,3407,備北,HbA1c,糖尿病,13570,1305,0.0961680176860722,6748,854,0.1265560165975103,6822,451,0.066109645265318,1.3604690404694049,63.60469040469405
徳島県,3601,東部,HbA1c,糖尿病,77870,5555,0.0713368434570437,38670,3678,0.0951124903025601,39200,1877,0.0478826530612244,-0.7219792579225035,42.780207420774964
徳島県,3603,南部,HbA1c,糖尿病,22336,1738,0.0778116045845272,11239,1129,0.1004537770264258,11097,609,0.0548796972154636,-0.17897814295068037,48.2102185704932
徳島県,3605,西部,HbA1c,糖尿病,12626,1214,0.0961507999366386,6308,802,0.12714013950539,6318,412,0.0652105096549541,1.3590250864832008,63.59025086483201
愛媛県,3801,宇摩,HbA1c,糖尿病,15944,1148,0.072002007024586,8528,796,0.0933395872420262,7416,352,0.0474649406688241,-0.6661958009419856,43.338041990580145
愛媛県,3802,新居浜・西条,HbA1c,糖尿病,33685,2447,0.0726436099153926,16724,1663,0.0994379335087299,16961,784,0.0462236896409409,-0.6123882429151251,43.87611757084875
愛媛県,3803,今治,HbA1c,糖尿病,23652,1586,0.0670556401150008,12451,1104,0.0886675769014537,11201,482,0.0430318721542719,-1.081019250654084,39.189807493459156
