pref_code,pref,pref_en,area,topo_id,region_code,region_name,domain,indicator,n_total,n_risk,risk_rate,risk_rate_pct,n_male,n_risk_male,risk_rate_male,risk_rate_male_pct,n_female,n_risk_female,risk_rate_female,risk_rate_female_pct
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,CKD,尿蛋白,43934,2003,0.0455911139436427,4.56,25541,1414,0.0553619670333972,5.54,18393,589,0.0320230522481378,3.2
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,心血管,LDL,43918,11591,0.2639236759415274,26.39,25509,6721,0.2634756360500215,26.35,18409,4870,0.2645445162692161,26.45
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,心血管,中性脂肪,44003,7933,0.1802831625116469,18.03,25546,5548,0.2171768574336491,21.72,18457,2385,0.1292192664029907,12.92
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,心血管,収縮期血圧,44056,10044,0.2279825676411839,22.8,25582,6314,0.2468141662106168,24.68,18474,3730,0.2019053805348056,20.19
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,心血管,心電図,294,82,0.2789115646258503,27.89,110,37,0.3363636363636363,33.64,184,45,0.2445652173913043,24.46
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,糖尿病,HbA1c,41238,3165,0.0767495998836025,7.67,23567,2240,0.0950481605634998,9.5,17671,925,0.0523456510667194,5.23
01,北海道,Hokkaido,北海道,JP.HK,110,東胆振,糖尿病,空腹時血糖,32244,2289,0.0709899516189058,7.1,20108,1872,0.0930972747165307,9.31,12136,417,0.0343605800922874,3.44
01,北海道,Hokkaido,北海道,JP.HK,111,日高,CKD,eGFR,1672,162,0.09688995215311,9.69,1009,115,0.1139742319127849,11.4,663,47,0.0708898944193061,7.09
01,北海道,Hokkaido,北海道,JP.HK,111,日高,CKD,尿蛋白,10428,464,0.0444955887993862,4.45,5881,315,0.0535623193334466,5.36,4547,149,0.03276885858808,3.28
01,北海道,Hokkaido,北海道,JP.HK,111,日高,心血管,LDL,10338,2839,0.2746179144902302,27.46,5833,1632,0.2797874164237956,27.98,4505,1207,0.2679245283018868,26.79
01,北海道,Hokkaido,北海道,JP.HK,111,日高,心血管,中性脂肪,10469,1900,0.1814882032667876,18.15,5892,1360,0.2308214528173795,23.08,4577,540,0.1179812103998252,11.8
01,北海道,Hokkaido,北海道,JP.HK,111,日高,心血管,収縮期血圧,10398,2553,0.2455279861511829,24.55,5844,1566,0.2679671457905544,26.8,4554,987,0.2167325428194993,21.67
01,北海道,Hokkaido,北海道,JP.HK,111,日高,心血管,心電図,134,39,0.291044776119403,29.1,74,22,0.2972972972972973,29.73,60,17,0.2833333333333333,28.33
01,北海道,Hokkaido,北海道,JP.HK,111,日高,糖尿病,HbA1c,8578,791,0.0922126369783166,9.22,4721,547,0.1158652827790722,11.59,3857,244,0.0632616022815659,6.33
01,北海道,Hokkaido,北海道,JP.HK,111,日高,糖尿病,空腹時血糖,8813,675,0.0765913990695563,7.66,4945,490,0.0990899898887765,9.91,3868,185,0.0478283350568769,4.78
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,CKD,eGFR,5687,712,0.1251978195885352,12.52,3236,469,0.1449320148331273,14.49,2451,243,0.0991432068543451,9.91
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,CKD,尿蛋白,71912,2433,0.033833018133274,3.38,38780,1660,0.0428055698813821,4.28,33132,773,0.0233309187492454,2.33
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,心血管,LDL,72062,18853,0.261621936665649,26.16,38650,10113,0.2616558861578266,26.17,33412,8740,0.2615826649108105,26.16
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,心血管,中性脂肪,72123,12469,0.1728852099884918,17.29,38691,8707,0.2250394148509989,22.5,33432,3762,0.112526920315865,11.25
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,心血管,収縮期血圧,72314,15944,0.220482894045413,22.05,38829,9632,0.2480620155038759,24.81,33485,6312,0.1885023144691653,18.85
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,心血管,心電図,684,95,0.1388888888888889,13.89,411,71,0.1727493917274939,17.27,273,24,0.0879120879120879,8.79
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,糖尿病,HbA1c,58776,4618,0.0785694841431876,7.86,30310,3204,0.1057076872319366,10.57,28466,1414,0.0496732944565446,4.97
01,北海道,Hokkaido,北海道,JP.HK,112,上川中部,糖尿病,空腹時血糖,60488,3755,0.062078428779262,6.21,31952,2851,0.0892275913870806,8.92,28536,904,0.0316792823100644,3.17
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,CKD,eGFR,2225,258,0.1159550561797752,11.6,1389,182,0.1310295176385889,13.1,836,76,0.0909090909090909,9.09
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,CKD,尿蛋白,12479,412,0.0330154659828511,3.3,6892,319,0.0462855484619849,4.63,5587,93,0.0166457848577053,1.66
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,心血管,LDL,12453,3155,0.2533526057977997,25.34,6776,1661,0.2451298701298701,24.51,5677,1494,0.2631671657565615,26.32
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,心血管,中性脂肪,12463,2232,0.179090106715879,17.91,6785,1570,0.2313927781871776,23.14,5678,662,0.116590348714336,11.66
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,心血管,収縮期血圧,12598,2960,0.2349579298301317,23.5,6897,1750,0.253733507322024,25.37,5701,1210,0.2122434660585862,21.22
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,心血管,心電図,536,38,0.0708955223880597,7.09,311,38,0.1221864951768488,12.22,225,0,0.0,0.0
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,糖尿病,HbA1c,10306,1027,0.0996506889190762,9.97,5503,700,0.1272033436307468,12.72,4803,327,0.0680824484697064,6.81
01,北海道,Hokkaido,北海道,JP.HK,113,上川北部,糖尿病,空腹時血糖,9662,660,0.0683088387497412,6.83,5239,511,0.0975376980339759,9.75,4423,149,0.0336875423920416,3.37
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,CKD,eGFR,1150,131,0.1139130434782608,11.39,727,86,0.1182943603851444,11.83,423,45,0.1063829787234042,10.64
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,CKD,尿蛋白,9292,222,0.0238915195867412,2.39,4955,166,0.0335015136226034,3.35,4337,56,0.012912151256629,1.29
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,心血管,LDL,9279,2212,0.2383877573014333,23.84,4927,1230,0.2496448142886137,24.96,4352,982,0.2256433823529411,22.56
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,心血管,中性脂肪,9317,1623,0.1741977031233229,17.42,4953,1149,0.2319806178073894,23.2,4364,474,0.108615948670944,10.86
01,北海道,Hokkaido,北海道,JP.HK,114,富良野,心血管,収縮期血圧,9325,2112,0.2264879356568364,22.65,4958,1201,0.2422347720855183,24.22,4367,911,0.2086100297687199,20.86
