pref,region_code,region_name,indicator,domain,n_total,n_risk,risk_rate,n_male,n_risk_male,risk_rate_male,n_female,n_risk_female,risk_rate_female
愛知県,2312,東三河南部,HbA1c,糖尿病,125360,10377,0.08277760051052968,68051,7028,0.1032754845630483,57309,3349,0.058437592699227
愛知県,2313,名古屋・尾張中部,HbA1c,糖尿病,446593,29879,0.06690431780166729,248636,22076,0.08878842967229203,197957,7803,0.03941765130811237
新潟県,1501,下越,HbA1c,糖尿病,36034,2933,0.08139534883720931,18031,1942,0.10770339970051578,18003,991,0.05504638115869577
新潟県,1502,新潟,HbA1c,糖尿病,150829,10771,0.07141199636674644,77283,7370,0.09536379281342598,73546,3401,0.04624316754140266
新潟県,1503,県央,HbA1c,糖尿病,36093,2818,0.07807608123458842,18217,1842,0.1011143437448537,17876,976,0.0545983441485791
新潟県,1504,中越,HbA1c,糖尿病,78817,6304,0.07998274483931131,40001,4082,0.10204744881377965,38816,2222,0.0572444352844188
新潟県,1505,魚沼,HbA1c,糖尿病,29687,2257,0.07602654360494493,15221,1517,0.09966493660074896,14466,740,0.051154431079773265
新潟県,1506,上越,HbA1c,糖尿病,54963,3075,0.05594672779870095,28996,2124,0.07325148296316733,25967,951,0.03662340663149382
新潟県,1507,佐渡,HbA1c,糖尿病,9297,974,0.1047649779498763,4757,617,0.1297035947025436,4540,357,0.07863436123348018
東京都,1301,区中央部,HbA1c,糖尿病,302585,15956,0.05273229010030239,178089,12810,0.07193032697134578,124496,3146,0.025269888189178767
東京都,1302,区南部,HbA1c,糖尿病,267036,15318,0.05736305217274076,147435,11655,0.0790517855326076,119601,3663,0.030626834223794114
東京都,1303,区西南部,HbA1c,糖尿病,286408,12741,0.044485489232144355,141592,9250,0.06532854963557264,144816,3491,0.024106452325709866
東京都,1304,区西部,HbA1c,糖尿病,263353,13404,0.05089746461973093,133561,9765,0.0731126601328232,129792,3639,0.028037167159763312
東京都,1305,区西北部,HbA1c,糖尿病,407871,25125,0.061600358937016854,207981,17543,0.0843490511152461,199890,7582,0.037930861974085746
東京都,1306,区東北部,HbA1c,糖尿病,252919,18513,0.07319734776746706,131410,12854,0.09781599573852827,121509,5659,0.04657268185895695
東京都,1307,区東部,HbA1c,糖尿病,318811,21190,0.06646571165988627,172800,15207,0.08800347222222223,146011,5983,0.0409763647944333
東京都,1308,西多摩,HbA1c,糖尿病,81554,5779,0.0708610245971994,43228,4089,0.09459146849264366,38326,1690,0.044095392161978816
東京都,1309,南多摩,HbA1c,糖尿病,299198,19718,0.06590284694416407,156937,13754,0.08764026329036492,142261,5964,0.041922944447178076
東京都,1310,北多摩西部,HbA1c,糖尿病,138342,9071,0.06556938601437018,74018,6322,0.08541165662406441,64324,2749,0.04273677010136186
東京都,1311,北多摩南部,HbA1c,糖尿病,216757,11579,0.053419266736483714,113535,8342,0.07347513982472366,103222,3237,0.03135959388502451
東京都,1312,北多摩北部,HbA1c,糖尿病,156384,9748,0.062333742582361365,80801,6834,0.08457816116137176,75583,2914,0.03855364301496368
東京都,1313,島しょ,HbA1c,糖尿病,4092,337,0.08235581622678396,2121,233,0.10985384252710985,1971,104,0.05276509386098427
栃木県,0901,県北,HbA1c,糖尿病,71330,6077,0.08519556988644329,39259,4185,0.10659976056445655,32071,1892,0.058994106825480966
栃木県,0902,県西,HbA1c,糖尿病,33522,2712,0.08090209414712726,18070,1881,0.10409518539014942,15452,831,0.053779446026404346
栃木県,0903,宇都宮,HbA1c,糖尿病,107016,7689,0.07184906929804889,61327,5655,0.09221060870415967,45689,2034,0.04451837422574362
栃木県,0904,県東,HbA1c,糖尿病,30491,2862,0.09386376307762946,17151,1957,0.1141041338697452,13340,905,0.06784107946026986
栃木県,0905,県南,HbA1c,糖尿病,88816,7327,0.08249639704557737,49152,5147,0.10471598307291667,39664,2180,0.05496167809600645
栃木県,0906,両毛,HbA1c,糖尿病,33498,2825,0.08433339303839035,20318,2140,0.1053253272959937,13180,685,0.05197268588770865
沖縄県,4701,北部,HbA1c,糖尿病,13696,1350,0.09856892523364486,6954,855,0.12295081967213115,6742,495,0.07342035004449718
